"idd","avgLL_T"
116,-8.17873368232746
117,-8.47775301826503
118,-10.2047147414596
119,-9.74348048648443
120,-11.6444200658286
121,-15.3063160357533
122,-6.59508400587979
123,-13.6128933225356
124,-8.40594302422468
125,-10.2785834420625
126,-9.35018932387552
127,-7.29035616810954
128,-11.1081918220037
129,-11.1161409582012
130,-12.5674941693441
131,-10.9215855505483
132,-7.44477845844591
133,-13.4431967011374
134,-10.4874182457188
135,-11.9824747582675
136,-9.57387984984417
137,-8.97995270842427
138,-14.6918238757348
139,-5.62816633861829
140,-11.4586990737332
141,-11.7105528593584
142,-13.1953805482018
143,-10.0818640517375
144,-14.741517951158
145,-7.26337314628084
146,-6.45656896433827
147,-10.3868110345878
148,-7.7422678283549
149,-4.89835590446617
150,-11.7361680841051
151,-7.04014342641521
152,-11.2177664988395
153,-12.6786242641694
154,-14.8869941517409
155,-11.1667763331132
156,-15.0558126676252
157,-14.3733942689508
158,-12.2315459359073
159,-17.1089856367343
160,-12.0898628983096
161,-9.37162191323831
162,-12.1872523357019
163,-13.0063518993683
164,-8.04242367866005
165,-11.9665367849125
166,-12.2218808153195
167,-9.10425862092936
168,-13.3418846676486
169,-11.4963503182156
170,-10.5964604303417
171,-9.8354542096176
172,-10.6887029749945
173,-11.0168783710084
174,-11.8602032674913
175,-13.3552371384663
176,-8.30652654479627
177,-13.7044875573525
178,-6.53186268521413
179,-10.4385428975052
180,-11.7414733164574
181,-11.5855725782782
182,-11.0207993679695
183,-4.14322300469733
184,-12.3706403080747
185,-9.50762278166338
186,-8.51428756334037
187,-12.4655848494479
188,-15.542534962302
189,-6.12973894141111
190,-9.20755711201511
191,-9.19201865433446
192,-8.05503237714254
193,-11.5542487409627
194,-8.89206061239586
195,-7.11741980070844
196,-11.7157236648804
197,-15.7729547191354
198,-10.5392670496947
199,-12.0699315679347
200,-14.3923320694355
201,-12.2161233617708
202,-11.7903907829317
203,-13.6738998676585
204,-14.3066377285016
205,-12.8726077429026
206,-10.1739909788904
207,-11.0984871348936
208,-8.74705916390906
209,-7.86868120430232
210,-15.0796251203655
211,-8.94704272767209
212,-13.4344964343575
213,-15.6178889991133
214,-10.9182786008369
215,-8.61351021321442
216,-5.91879062554863
217,-16.2164946524108
218,-9.28100476055068
219,-8.91076781973214
220,-8.02393738860969
221,-10.0776311010847
222,-12.4679557267611
223,-12.7790314011347
224,-11.8866669237577
225,-8.64130839539241
226,-9.89928698930049
227,-18.0349069099176
228,-14.2421566303005
229,-13.4273416572473
230,-9.51062158444573
231,-8.52215565389733
232,-17.1588952169056
233,-8.636552929416
234,-12.1168253913023
235,-13.628964011775
236,-11.0529014817671
237,-13.0604615811894
238,-9.37003707836445
239,-14.6631748232902
240,-7.99110531415583
241,-13.3074419537904
242,-12.5005029444697
243,-9.99956719023189
244,-12.203070836985
245,-11.1161045056859
