"idd","avgLL_LN"
198,-11.0296064746464
199,-12.6041391235007
200,-14.068385331584
201,-13.4594803299874
202,-12.6583925020407
203,-13.8854729303074
204,-14.0864261313874
205,-12.8488891346312
206,-10.2232336063613
207,-10.7235172713014
208,-10.7898913161185
209,-8.72981254513332
210,-14.2743225529117
211,-8.5184405073437
212,-14.9057866489755
213,-14.5294545521213
214,-11.3433576837296
215,-8.81601936325814
216,-6.27014526359698
217,-15.507429260202
218,-8.83233432664978
219,-11.1231079036287
220,-9.58619199232358
221,-9.74468555442742
222,-13.0743071678228
223,-12.5928849229503
224,-13.575586866347
225,-11.3880182556392
226,-8.75768645668901
227,-17.8250594075526
228,-13.3726780332679
229,-13.205246218593
230,-10.2180092647326
231,-10.7197917757459
232,-15.8778188151749
233,-7.01115816238905
234,-12.1357671512039
235,-12.6833579445458
236,-11.533892475834
237,-13.2312613733616
238,-10.121623256019
239,-14.9642129552039
240,-7.35504762520885
241,-12.5523315897597
242,-13.1630100428824
243,-9.53340054078154
244,-12.0258198384545
245,-11.2898542893472
246,-9.57129965968634
247,-12.4766428560818
248,-11.5339677361049
249,-7.66226512509229
250,-5.18347457393065
251,-10.2562929295104
252,-11.684205273445
253,-12.8750036169872
254,-8.90897500239101
255,-9.57065678516351
256,-9.10214690935006
257,-11.5524041233118
258,-13.1790009973205
259,-13.0876402684318
260,-9.62841129201878
261,-9.14766719444452
262,-9.8497393284475
263,-12.2689197598263
264,-12.5362388732454
265,-11.773330124029
266,-13.3767401602978
267,-9.07707503095704
268,-11.2504534488205
269,-9.04815910359141
270,-11.9801526078738
271,-8.30198765180844
272,-12.900800750841
273,-12.3795978057527
274,-12.282484150224
275,-5.82999309787914
276,-11.8041074596858
277,-12.1183481094743
278,-11.9543520086913
279,-7.94579919271243
280,-14.4950472203683
281,-13.0480689439477
282,-8.55915101588109
283,-13.4110161724377
284,-11.5405982853515
285,-9.9820975225185
286,-12.8187075604738
287,-11.2422956772553
288,-11.7896909066858
289,-7.67897492939003
290,-12.2709047788043
291,-13.3431386761538
292,-10.6028890609073
293,-10.652916606643
294,-13.6102202305041
295,-5.18329382580401
296,-7.43354800244867
297,-9.91116333229169
298,-10.2773955199256
299,-13.2575611008851
300,-12.5860876866029
301,-6.19671854856826
302,-6.43615365280898
303,-11.8992669646323
304,-8.29795414795195
305,-8.88136543188766
306,-10.2149637387265
307,-9.8328888351129
308,-8.37667861530063
309,-7.66502895020755
310,-13.0346382563287
311,-15.3752791616721
312,-12.9159627802037
313,-8.66037718360375
314,-9.15758371221708
315,-8.23258077930999
316,-7.93826882238867
317,-7.6858002282916
318,-6.40705672052574
319,-11.9732210559142
320,-11.3544282381393
321,-7.23651976407157
322,-9.41949902942189
323,-13.2469981880254
324,-10.0538417557364
325,-13.3122220751861
326,-8.7195691415535
327,-10.7203009081676
328,-13.1204478799884
329,-8.96061620171978
330,-15.1832710200917
331,-11.0460170364113
332,-9.23453629362638
333,-6.7515165522653
334,-7.73258804955286
335,-10.5007644194572
336,-12.0126149578162
337,-13.6034245190937
338,-8.43198308192578
339,-6.8088580093921
340,-13.309322038207
341,-11.6959868504344
342,-13.9798884925584
343,-14.062016843248
344,-8.60311737439877
345,-12.8764180147122
346,-12.0694958369335
347,-15.1979265927826
348,-8.97444691549609
349,-9.71595597298692
350,-16.0545598413824
351,-9.83418137835438
352,-9.83711399572395
353,-12.8979449240496
354,-13.6908490156791
355,-9.79330873235146
356,-8.93883483044503
357,-12.3738009436731
358,-11.3162939170463
359,-12.7837639212303
360,-6.3285078683197
361,-12.5549190029525
362,-7.66868441426402
363,-4.30955792126414
364,-13.6460896428759
365,-8.45054806767624
366,-10.2572081211385
367,-11.1164972880719
368,-12.3384825450833
369,-9.52447999432747
370,-13.7359355319135
371,-9.85542098404641
372,-9.5091103585061
373,-11.048754969679
374,-7.56035834967391
375,-10.4879381482292
376,-9.00746792572127
377,-6.5095796557454
378,-11.743709805713
379,-10.5610474470252
380,-8.6593473752064
381,-11.1996103116748
382,-8.16099494610617
383,-8.527864585555
384,-11.0325446110982
385,-13.8890268737103
386,-8.85159958617141
387,-12.4924381971108
388,-10.9948725151431
389,-7.70995361560159
390,-10.5966570738102
391,-6.56916356443115
392,-13.2680881051635
393,-13.0704043827484
394,-12.679142705794
395,-10.6638936851642
396,-13.738540367523
397,-12.804476497572
398,-15.8849896128865
399,-10.0994774876488
400,-9.46734878747493
401,-6.8719347428047
402,-13.1984115790205
403,-10.5053772679584
404,-5.27602133778619
405,-12.348140254456
406,-5.50103637114031
407,-11.2419386153692
408,-11.9780758969067
409,-9.61624792176893
410,-13.9648707855712
411,-9.86798211472731
412,-8.37800883449875
413,-13.6778669271224
414,-8.56746021568859
415,-13.356243596908
416,-10.9129497812696
417,-8.36946613730042
418,-10.856018729097
419,-8.92596675899477
420,-10.09262513487
421,-11.0527046063977
422,-9.19022589462012
423,-8.6202516014045
424,-10.8091151348431
425,-8.29966534134157
426,-12.7821499227077
427,-7.43005124504228
428,-9.20326473070314
429,-12.114450489159
430,-7.19609178328715
431,-7.38098674525082
432,-12.7381725253176
433,-10.1739880303441
434,-7.14679219128727
435,-12.0843636065379
436,-14.7400556874931
437,-12.8470918276395
438,-9.91329071246214
439,-13.2055071758092
440,-13.7014883653991
441,-9.95002519427433
442,-7.07900590465291
443,-10.5148403454396
444,-9.10608141750451
445,-13.4487513975488
446,-8.96488427795968
447,-12.7701181099979
448,-10.0392877032312
449,-10.0343633618533
450,-9.80835593792038
451,-14.8278967446019
452,-8.72834929901908
453,-10.8733013835805
454,-7.88308390308383
455,-12.2540043584309
456,-11.9795436418279
457,-7.13420127135876
458,-5.4752869091063
459,-11.450582182806
460,-10.8018905908473
461,-10.7977550012822
462,-11.0732983971211
463,-11.3426002032014
464,-8.85819858778559
465,-8.00644534279105
466,-12.1562344206705
467,-12.1069166829818
468,-9.35506427010725
469,-12.4524074813836
470,-15.6323641654695
471,-9.33749170331212
472,-5.73374521430985
473,-9.85446035131821
474,-12.355059163598
475,-13.0647725135675
476,-12.1368529047127
477,-14.0495359410919
478,-13.0884299789659
479,-11.7733995628944
480,-5.32154368178771
481,-12.7355217272338
482,-11.8407670756433
483,-12.7887610771993
484,-7.76159917912115
485,-10.5588892744347
486,-8.93639927696862
487,-11.5529225819705
488,-10.0251633948439
489,-12.5477650990827
490,-6.23859605162497
491,-12.5630537570827
492,-9.94434274056478
493,-12.8647902678482
494,-10.5899124755289
495,-14.1593023351008
496,-9.29373716994501
497,-10.3924885900464
498,-11.9961936529
499,-12.2618602619502
500,-10.494887427404
501,-12.7838395742709
502,-11.6336260639778
503,-8.04607828235772
504,-10.2909461046304
505,-14.6031262684792
506,-10.7114758182711
507,-9.71676421012844
508,-15.6204236407875
509,-11.9347154679392
510,-10.5609092867739
511,-12.522023082569
512,-10.3662767396183
513,-8.62326214372778
514,-10.7301661832008
515,-11.4038473332481
516,-7.72803234241083
517,-14.6772144773823
518,-11.3227117760524
519,-11.9632731189443
520,-12.979981775337
521,-7.68887480152686
522,-14.5653163782985
523,-13.1111088383197
524,-9.26684038536248
525,-10.6336452446702
