"idd","avgLL_NLN"
200,-14.1445921484487
201,-12.7053934025069
202,-11.9125457032403
203,-13.2495518525503
204,-14.0511124504741
205,-12.8318558187201
206,-9.93972733243929
207,-11.2373976980271
208,-8.88745241247096
209,-8.05823780773979
210,-14.6766764041226
211,-8.83308840246283
212,-13.9912456257857
213,-15.8870786026309
214,-10.8300440738881
215,-8.50905873910426
216,-5.91611964328544
217,-16.4009246255848
218,-9.00375358492865
219,-9.45224237028662
220,-8.00673095471165
221,-9.71462734962381
222,-12.1633384017964
223,-12.6984439243676
224,-12.2099359758022
225,-8.82960104170073
226,-9.60103016145259
227,-18.6770121286306
228,-14.3925776528166
229,-13.1455667803178
230,-9.56949718553934
231,-7.58787632960334
232,-17.1412238522406
233,-8.52097041079012
234,-12.3059668990259
235,-13.044100791487
236,-11.0528149135947
237,-12.8225106554784
238,-9.30331681696432
239,-14.6518973935423
240,-8.05119882025054
241,-13.3877679470979
242,-12.6657656792601
243,-9.81048647242216
244,-12.073525167019
245,-11.0338699783141
246,-8.83674971330023
247,-12.2731322860805
248,-10.831545627786
249,-7.01492083145121
250,-4.60286389094048
251,-7.76947910218191
252,-10.7403270883293
253,-13.591134747577
254,-6.88258252141233
255,-10.3233548798282
256,-9.13796571366646
257,-8.98772927678757
258,-12.436259823972
259,-14.0611727027752
260,-9.17336321878368
261,-8.52533473541363
262,-9.12686405929347
263,-12.5876211535646
264,-12.0651655963383
265,-12.1757270173751
266,-14.1171812089195
267,-9.75153811357341
268,-11.0187954427491
269,-7.54087728870115
270,-11.3507235952476
271,-8.32169888803768
272,-12.5722508124776
273,-12.2537020954189
274,-12.6204900959749
275,-5.80183856962071
276,-12.0272825315575
277,-11.8666536522566
278,-12.8742495094099
279,-8.71054550388162
280,-15.2231202087447
281,-12.5879813341795
282,-8.23574620583124
283,-13.1402950841036
284,-11.3376070824691
285,-6.29230618074084
286,-12.6484312056306
287,-10.8971645916007
288,-9.25016432378437
289,-9.63797879292025
290,-11.4791081981905
291,-12.6337676505593
292,-8.32916903943183
293,-7.97379038447376
294,-11.7721070491521
295,-5.62596475908428
296,-7.62975651417351
297,-9.42230546623388
298,-9.62103343584228
299,-13.1801672345001
300,-11.0094988901202
301,-6.71559379697176
302,-6.17571171944981
303,-11.8564619621646
304,-6.66528494561769
305,-8.64118395196531
306,-10.5537092377672
307,-8.32570684782212
308,-6.85795182556128
309,-7.74678543262237
310,-13.1365961966907
311,-16.0763113159837
312,-12.4737395963101
313,-8.6620919618571
314,-7.9181771111217
315,-7.82108642485143
316,-8.20661713279359
317,-8.76966218535958
318,-5.21481998181001
319,-13.1694875334233
320,-10.5781286803053
321,-7.96181672099516
322,-7.00281392880406
323,-12.6700383790815
324,-9.60306167081126
325,-14.1883291172645
326,-9.43738032542867
327,-10.2163284819873
328,-14.0934380466588
329,-8.54131987460649
330,-15.4827091091101
331,-11.0513419491236
332,-8.03976979587855
333,-6.66399350725462
334,-8.28354103941991
335,-8.93654442155939
336,-13.1196985070164
337,-13.4953903385028
338,-8.03123918998663
339,-6.65400084008728
340,-12.5781936747011
341,-10.8078366736235
342,-11.6259473195066
343,-13.2306194456454
344,-8.18869195707658
345,-12.5396578958782
346,-12.1689263494819
347,-15.1229797053811
348,-9.79395779822188
349,-7.2002786221999
350,-15.8735846883305
351,-8.90910032174447
352,-10.1771385919945
353,-13.0487313061331
354,-14.3880980334575
355,-9.20332345577566
356,-8.04002322404319
357,-13.5263194278338
358,-11.607590193926
359,-13.6969624262452
360,-6.22993179244992
361,-12.8419579655432
362,-7.40860486822947
363,-4.65636155569886
364,-12.3046301098525
365,-8.51251806069552
366,-9.78867811244309
367,-11.0483177059095
368,-11.9652122851393
369,-10.1215826182808
370,-13.3831586263314
371,-10.7804949893018
372,-11.9357901752303
373,-10.860623102683
374,-8.82229542330476
375,-11.0256359400152
376,-8.52354751379157
377,-7.32328838708248
378,-8.78281888678621
379,-9.81422208064565
380,-7.99274206484859
381,-10.0348331867
382,-9.31916522035747
383,-8.43718360447743
384,-10.1326791342755
385,-13.7903541025908
386,-7.81171146654963
387,-9.56049632933411
388,-10.9055481161484
389,-8.46111802641544
390,-9.97676128318973
391,-6.15876333119231
392,-13.5055588587034
393,-12.0688094247457
394,-12.4244260648315
395,-10.0473134934558
396,-14.3366017465051
397,-12.494225548139
398,-15.814344536405
399,-10.6583913783904
400,-8.42352548112748
401,-7.30953323456207
402,-13.6766424034178
403,-9.85160650848657
404,-4.99657686837712
405,-12.2094947927143
406,-6.74871344035279
407,-11.4157324705741
408,-11.5026648981585
409,-7.45452045103689
410,-12.5508006882944
411,-8.99215884120719
412,-9.41119797217045
413,-13.9932349357311
414,-8.17776798426958
415,-13.0902889352448
416,-11.2755466034392
417,-9.42530812596996
418,-8.66072546838412
419,-7.74264749177747
420,-8.77545795671058
421,-10.8953604104311
422,-8.98107036924285
423,-7.84088303182218
424,-11.343599338479
425,-7.90998426912705
426,-12.536153039163
427,-6.89085489923314
428,-9.90068755812917
429,-7.66540794461151
430,-6.60530129039597
431,-6.83378358088075
432,-11.8970923671048
433,-10.6841709772178
434,-7.57391496689022
