"idd","avgLL_LU"
383,-8.61005759781147
384,-10.6571042719276
385,-13.9898297529525
386,-7.39341642604315
387,-9.57191996102344
388,-11.3513924127802
389,-8.18833331963623
390,-9.75966076294021
391,-6.1704672138621
392,-13.7471046795091
393,-12.0835396064356
394,-12.2852004274607
395,-10.1442407730295
396,-14.2428297466679
397,-12.616644199731
398,-15.6091180079125
399,-10.7065744697498
400,-8.28198445125354
401,-7.45777679637178
402,-13.3917429010638
403,-9.70332434708241
404,-4.76749831097298
405,-12.3343108630499
406,-7.63867368789504
407,-10.9561506515926
408,-11.5101201931953
409,-7.25374253317259
410,-12.5291874170262
411,-8.90841001556683
412,-8.99961362646782
413,-13.963286306476
414,-8.11287862762768
415,-12.8856487247998
416,-10.8011289889134
417,-9.23784310036231
418,-8.99185721120458
419,-8.11211580081494
420,-8.866570732627
421,-11.0245608109671
422,-9.33499251309884
423,-7.84251946409389
424,-11.6602776428453
425,-7.90392565555875
426,-12.3682023483074
427,-6.92520558428539
428,-9.93133809158213
429,-7.7007035571739
430,-6.6846659479963
431,-6.76318713780232
432,-11.4890446841492
433,-10.3395414727259
434,-7.46372922200596
435,-13.0777669091162
436,-14.0893203317534
437,-11.3104419920952
438,-9.34809892305702
439,-14.0003071063579
440,-14.0862567761689
441,-8.09155811200457
442,-6.98206319533981
443,-9.91518621277303
444,-8.16741914417484
445,-11.8111164587282
446,-9.17176341835722
447,-11.510513036182
448,-9.48370863825849
449,-9.69044989633334
450,-9.43894411046612
451,-15.3479474131054
452,-7.83135196201487
453,-7.64242648857286
454,-6.42651602685306
455,-11.1360469921312
456,-10.9388389182535
457,-7.08699951287441
458,-6.22398135883352
459,-11.3144790609979
460,-10.835309355448
461,-10.0346824663943
462,-10.8793684037585
463,-11.965634298271
464,-9.54158297980141
465,-7.17377484688191
466,-9.87332468360067
467,-11.0788380478498
468,-7.77792454183088
469,-11.8485962867592
470,-12.7332312822245
471,-9.57597221534304
472,-5.81656348236752
473,-9.81958678243405
474,-11.3961698827935
475,-12.4280833412571
476,-12.1347749979094
477,-13.9677014293201
478,-12.0065578419141
479,-11.679039527863
480,-5.45172912159707
481,-11.1240579558649
482,-11.5943888082999
483,-12.3092626192504
484,-7.79333179649804
485,-9.91485874337784
486,-7.50295737748045
487,-9.77820154007654
488,-9.26212611153924
489,-13.5112174250496
490,-6.1288400450855
491,-13.0448796535479
492,-7.9071070345969
493,-13.0010917235813
494,-8.41161172008897
495,-12.7630196378312
496,-9.21223873307664
497,-8.09216602754263
498,-12.2960575332298
499,-11.1807966801047
500,-9.2763145812037
501,-13.1983221041477
502,-11.2967014231117
503,-8.74870171141383
504,-9.75138116443837
505,-14.8969775202044
506,-10.1427933765722
507,-9.55692151933775
508,-16.2903866499816
509,-10.4161852678599
510,-8.89329129025411
511,-11.9633538837246
512,-10.5192017792923
513,-7.96181863120835
514,-10.881217723291
515,-10.9253833985927
516,-6.71861037848616
517,-13.9843981976791
518,-10.0162070417539
519,-8.94129744026126
520,-12.4829410471357
521,-7.0821818789321
522,-14.6493001239534
523,-11.3649086337399
524,-8.20476696978412
525,-11.5451099633596
526,-12.0351672264008
527,-7.90812252157824
528,-11.8055516724235
529,-9.42894384841114
530,-6.84393077114876
531,-5.43014648733374
532,-6.64280928546791
533,-11.2880627143291
534,-9.62583040511405
535,-10.8330140645896
536,-9.57542525925434
537,-11.1760670275912
538,-9.47451843197139
539,-8.35293829056205
540,-11.4260893065191
541,-10.8055998874014
542,-9.50361614393735
543,-9.52206567715466
544,-7.76862819997062
545,-7.61171738089939
546,-6.236485326185
547,-12.6379896047502
548,-11.7966133302607
549,-8.08988940964912
550,-12.6399269314666
551,-13.3935205202185
552,-9.9329901827136
553,-13.6611581896356
554,-8.7926079597481
555,-9.49742164278263
556,-12.7148446052274
557,-11.548359020382
558,-13.4925700270619
559,-9.46295369130352
560,-11.1516998619413
561,-7.81846132387328
562,-12.9925593550876
563,-5.8076914888696
564,-11.1307570952716
565,-11.9258594813727
566,-17.1170621990361
567,-12.4768911247074
568,-6.44448708266119
569,-11.7051937302155
570,-9.88552677258058
571,-12.6869522055086
572,-6.31373443181146
573,-8.52180795253171
574,-14.2075912472121
575,-12.1138570294641
576,-5.44212944692307
577,-14.180359846065
578,-10.3893798536603
579,-9.83431429969312
580,-14.9059757703048
581,-8.88009820819554
582,-8.38620184873082
583,-13.3478352965678
584,-11.8064597718031
585,-8.01197048072692
586,-11.0270533452782
587,-8.76854173563775
588,-13.8858837280739
589,-11.1923664964584
590,-13.9844295818883
591,-12.1151963069299
592,-8.9774067345668
593,-8.6676070578784
594,-11.1059989726227
595,-13.2805646658311
596,-14.4256237903529
597,-13.5803077271743
598,-13.9065506386762
599,-7.70710538405655
600,-14.6439595849008
601,-10.4028681069394
602,-12.7272442227456
603,-10.3661267304967
604,-8.62958974025543
605,-10.6688234887656
606,-9.60170835917134
607,-10.6016070412712
608,-10.726657543449
609,-10.1377371735596
610,-8.34198802451263
611,-10.2346930788248
612,-6.38967846253197
613,-12.2997640690809
614,-8.66010764107058
615,-8.68173625606145
616,-6.51783349271052
617,-5.8637913234545
618,-10.7772637505333
619,-9.29919210654119
620,-9.90818012436539
621,-8.32784302406781
622,-8.4867888336368
623,-9.22732642800214
624,-13.4899602752868
625,-9.06962145734273
626,-9.71327044692575
627,-9.14305815993359
628,-8.38915338830609
629,-10.4896177078231
630,-11.3552464712659
631,-9.36200519412027
632,-13.4092878069511
633,-13.1133907493214
634,-5.05229173580724
635,-10.2794832330889
636,-8.34452241337013
637,-7.2687473203285
638,-12.4682404417921
639,-10.200956171337
640,-11.8404437579216
641,-10.748812360388
642,-8.90541815689943
643,-12.6020731977492
644,-11.0803409755272
645,-11.4410271049938
646,-8.6998124859598
647,-6.18026555592419
648,-11.0855020544928
649,-12.752360831132
650,-14.5028910779491
651,-8.1313792149113
652,-6.69780697231623
653,-14.5113461169489
654,-10.7841728819916
655,-8.63110977211511
656,-8.8679195760613
657,-12.223972873129
658,-12.4285370578286
659,-11.5165614501146
660,-11.5026147329017
661,-9.1273899839648
662,-10.3978626154409
663,-10.2331137944205
664,-10.5906319176747
665,-8.90311026769957
666,-6.70002583075167
667,-6.32259273444071
668,-7.42560489114473
669,-13.9691722986553
670,-5.69836029341013
671,-13.7556234351967
672,-11.2722717978691
673,-10.5412133487428
674,-8.96036681902784
675,-10.8357864998031
676,-7.90313250627072
677,-10.6945019752321
678,-13.6285621574693
679,-5.78739071259295
680,-12.1219489869726
681,-12.9105625727081
682,-7.25227013420692
683,-10.0612157472258
684,-10.9087603946076
685,-6.94585318979907
686,-11.625960287022
687,-10.6673500067175
688,-13.1236449688821
689,-9.99958169529312
690,-8.15905415449954
691,-8.20045450599878
692,-12.1946436076711
693,-12.6437889469251
694,-9.98437103240758
695,-8.26644993121803
696,-12.5594871296195
697,-12.3408227907146
698,-6.80193379871641
699,-11.5245857201236
700,-12.4423815438082
701,-6.29029865162919
702,-11.381963446769
703,-12.8498686216309
704,-8.76403270505151
705,-12.9922370571896
706,-10.1521558633311
707,-10.9937445002382
708,-11.7969308410972
709,-10.5704435271125
710,-11.5689512589786
711,-11.6992825181149
712,-13.8891628155506
713,-8.19464612106797
714,-10.9109969230737
715,-12.6637466111918
716,-8.57757901358414
717,-10.4163933392969
718,-10.1007375360293
719,-7.11142981819612
720,-10.7354062418195
721,-13.2590352781994
722,-10.7646048529096
723,-9.18175465217601
724,-6.77762735086654
725,-10.7610700485419
726,-12.8869984720056
727,-7.35429420105374
728,-10.5095919442854
729,-10.2941255728714
730,-9.32615955580648
731,-9.61325222797981
732,-7.70968565265389
733,-8.96824795892021
734,-9.00783566927591
735,-14.22088010596
736,-10.7991084638849
737,-8.79472744839087
738,-10.2116474496075
739,-11.5210020737447
740,-13.0949813655596
741,-13.2635678646901
