"idd","avgLL_U"
152,-10.9375799140608
153,-12.4704948135096
154,-15.0697570595308
155,-10.987496153739
156,-15.0118196306066
157,-14.6253803366043
158,-11.8786697322875
159,-17.1357956035646
160,-11.7657316171044
161,-9.44841455580953
162,-12.1148761756597
163,-13.1894210280211
164,-7.95077305125249
165,-12.0803126163203
166,-12.4677985370642
167,-9.12978329991106
168,-12.8833879141205
169,-11.6131276626639
170,-10.5965180514518
171,-9.82842543482774
172,-10.9996137261898
173,-11.0753735899922
174,-11.9307286647606
175,-13.4380449666324
176,-8.22826602314721
177,-13.501661994442
178,-6.8491990529236
179,-10.4937254831188
180,-12.2938617069477
181,-11.4870235134685
182,-11.098227122875
183,-4.2230628422558
184,-12.5481805358882
185,-9.41838682799582
186,-8.43167744926615
187,-12.2455816187365
188,-15.2849006110499
189,-6.02591488624483
190,-8.86487159361954
191,-9.27570242119059
192,-8.13988165436066
193,-11.0992155031593
194,-8.49377011405739
195,-7.18595021477439
196,-11.5872901776639
197,-15.6568937960989
198,-10.2099288960308
199,-12.1837878290265
200,-14.5182380591368
201,-12.1492124876658
202,-11.7255102359421
203,-13.1144946507686
204,-14.1949530628188
205,-13.0104773833022
206,-10.0157496543184
207,-11.2920308296126
208,-8.81166885432685
209,-7.79940811656571
210,-15.2234821123853
211,-9.29476121861019
212,-13.0205253132562
213,-16.0082441973122
214,-11.1305859595014
215,-8.75727984236545
216,-6.03552366034781
217,-16.8754054305869
218,-9.55421011731349
219,-9.24632044286974
220,-8.00944923951566
221,-9.9941155155367
222,-12.2326632121427
223,-12.8346011462063
224,-11.6310612985149
225,-8.54596656830337
226,-9.88490917470397
227,-18.6537359805129
228,-14.5224402090684
229,-13.3699980286672
230,-9.34521595197213
231,-8.1033905867707
232,-17.3867528268874
233,-8.76487523871659
234,-12.0321138050784
235,-13.0660168688253
236,-11.0943082872845
237,-12.6056281476826
238,-9.11412304681563
239,-14.78220404782
240,-7.85681734291141
241,-13.4741494434156
242,-12.5842890261731
243,-9.74503332641924
244,-12.1268816566527
245,-11.2457055878183
246,-8.78940619867596
247,-12.9053626605933
248,-10.6942279051145
249,-6.94873369724932
250,-4.34726339656073
251,-8.16909162476252
252,-10.685544568074
253,-13.6139129843483
254,-6.96295804221072
255,-10.5891312627194
256,-8.96491934593251
257,-8.89643363601295
258,-12.3637471728466
259,-14.3832618828227
260,-8.44325070150221
261,-7.9560928148095
262,-9.02699716132942
263,-12.723628443498
264,-12.1267018594724
265,-12.3409300726661
266,-14.1753410451983
267,-10.1491857378729
268,-11.219881552671
269,-7.56033536200952
270,-11.3771117236673
271,-8.24024826137627
272,-11.8848006607312
273,-12.4116999520647
274,-12.7798974484401
275,-6.30116914346066
276,-12.0617503323819
277,-11.8049338561492
278,-13.0516790180674
279,-8.55397837582806
280,-15.2907147800103
281,-12.450815550278
282,-8.1562819879693
283,-13.1879254322431
284,-11.3402121568685
285,-6.51767262694931
286,-12.8615652437268
287,-11.0757675599695
288,-9.47183583207692
289,-9.56865116287037
290,-11.7766230660514
291,-12.6680116637127
292,-8.43680306527795
293,-7.93720484932767
294,-11.4620355783377
295,-5.63539473951847
296,-7.61937433501032
297,-9.1610953956925
298,-9.33048588450192
299,-12.4312099159369
300,-10.7187568047617
301,-6.69485876923342
302,-6.07123520562363
303,-11.7302532749347
304,-6.59224674667575
305,-8.53830701316102
306,-10.6917036855717
307,-8.0998908147809
308,-6.98805485302528
309,-7.75923278464348
310,-12.947623270206
311,-16.0269216880815
312,-12.3925362723752
313,-8.51075548496443
314,-7.57716256810507
315,-7.79284496559695
316,-8.21963081129277
317,-8.44569002404426
318,-5.58128751873091
319,-13.4189767920338
320,-10.4192803175301
321,-8.14833945867482
322,-7.0677672410337
323,-12.5345780556887
324,-9.4477345787708
325,-14.4868392814132
326,-9.09548233975643
327,-10.308897967555
328,-14.2777420016565
329,-8.18819090721638
330,-15.475119715075
331,-10.8590860905531
332,-8.09447752512383
333,-6.45605889303745
334,-8.3582424393436
335,-8.88335502221466
336,-13.2264621712359
337,-13.3999815066188
338,-8.11956413089284
339,-6.4818090825232
340,-12.8250618093217
341,-10.3737460989193
342,-11.8136257782306
343,-13.5024300319244
344,-8.06332411736664
345,-13.0904345832906
346,-12.0413728787325
347,-14.7990106554943
348,-9.3110170337988
349,-7.42744584212188
350,-15.9874588633114
351,-8.33922332456872
352,-10.449502351493
353,-13.344621088791
354,-14.2462358088001
355,-8.84046248557431
356,-7.80528391595829
357,-13.5154907780208
358,-11.9722470469993
359,-14.1398853860874
360,-6.48350642499813
361,-12.8443345232425
362,-7.23862694929273
363,-4.73663225118557
364,-11.7847538385318
365,-9.02800402877825
366,-9.60450439899707
367,-10.7778876136964
368,-11.6466797787789
369,-10.297940833856
370,-13.0572803550084
371,-10.9958833364051
372,-11.1516887841901
373,-10.8292617929877
374,-8.86308793526657
375,-11.0997813312737
376,-8.88286175768675
377,-7.84145049669005
378,-8.80050628882116
379,-9.71833397938472
380,-7.95877132430279
381,-10.0578049388161
382,-9.13260782602703
383,-8.91289476228923
384,-10.5367271408091
385,-13.9503665123603
386,-7.50445152822438
387,-9.92298743653479
388,-11.4477040445025
389,-8.13091588297347
390,-9.81410317511401
391,-6.16060397776978
392,-13.6252231808014
393,-11.9647753408091
394,-12.3789874641808
395,-10.0004706129003
396,-14.4791588772542
397,-12.7968679708997
398,-15.7511456251232
399,-10.7157998558033
400,-8.1930162155065
401,-7.4548795541533
402,-13.2727538575929
403,-9.5598044120656
404,-4.79093955405602
405,-12.3850524048938
406,-7.95254112776907
407,-11.1554233197982
408,-11.4808045551604
409,-8.19317386491918
410,-12.4124107466934
411,-8.92873644967665
412,-9.0296721518865
413,-13.9026188956784
414,-8.05182140584701
415,-12.9506227169717
416,-11.2412525482562
417,-9.10867564377069
418,-8.94074864528034
419,-8.13583809170724
420,-8.61926193273152
421,-11.2515308925215
422,-9.16255545618672
423,-7.98478781082227
424,-11.7201088468506
425,-7.83445684790447
426,-12.3172945734962
427,-6.85208761652207
428,-9.88437783844483
429,-7.54295874475206
430,-6.56689991406257
431,-6.6221088508418
432,-11.9148123241861
433,-10.2775329256575
434,-7.44610540997055
435,-13.2730143695022
436,-14.0523828217818
437,-11.226534981395
438,-9.67925272686339
439,-14.0548194762578
440,-13.972110556897
441,-8.20589955168388
442,-6.89968957183731
443,-10.0493262480475
444,-8.13104894250237
445,-11.8317428056524
446,-9.22441237292137
447,-11.4204658007641
448,-8.90778653542225
449,-9.45773656486847
450,-9.29780876410684
451,-15.466862085441
452,-7.8265764006134
453,-7.52934132021241
454,-6.28624138953655
455,-11.0901429370389
456,-11.0232434060803
457,-7.02999208187223
458,-6.13588279729655
459,-11.4909279867977
460,-11.4301595833192
461,-10.4420096477083
462,-10.9337007301296
463,-12.0149020814808
464,-9.83879867883718
465,-6.96390714540495
466,-10.3325823132489
467,-11.4871427100944
468,-7.83623046149429
469,-11.7566910910461
470,-13.540271524116
471,-9.60352950569971
472,-5.85788247561512
473,-9.75746758956361
474,-11.7138979444058
475,-12.6057801448499
476,-11.9516577085277
477,-14.0527791883975
478,-11.9495275788358
479,-11.5876860298617
480,-5.67921619580729
481,-10.9735228170281
482,-11.0442002151093
483,-12.220871711288
484,-7.66416420533577
485,-9.94986834150904
486,-7.54735332549767
487,-10.1391143657478
488,-9.42866666903271
489,-13.2866511866664
490,-6.25119326586773
491,-13.3294420332367
492,-7.88789195378584
493,-13.1319418773963
494,-8.62519064673372
495,-12.6865049244769
496,-8.96012857463877
497,-7.90703608395586
498,-12.1931517083742
499,-11.483382567485
500,-9.34995266176783
501,-13.1518331235253
502,-11.2586817929274
503,-8.5137623935115
504,-10.0629507018587
505,-14.8143790868805
506,-9.94452659884593
507,-9.60357321193872
508,-16.2975816871762
509,-10.5498318233495
510,-8.92847443259653
511,-11.7709427832851
512,-10.7785617817595
513,-7.95411967246773
514,-10.6424292362286
515,-11.0621082264199
516,-6.93138276227381
517,-14.0482642426234
518,-9.84802594912622
519,-8.9934032477879
520,-12.5185553454613
521,-7.35149650229187
522,-14.1704527485342
523,-11.446323412446
524,-8.47063744138082
525,-11.6228837945216
526,-11.8429596424072
527,-7.9424744365916
528,-11.6702025322621
529,-9.57618134227435
530,-6.97398541693768
531,-5.32680240676802
532,-6.59505257852588
533,-11.2606082459659
534,-9.65816093305024
535,-10.8917942066929
536,-9.44931858953692
537,-11.2505065369009
538,-9.336466714445
539,-8.4848860532673
540,-11.3112888781761
541,-10.7048759941139
542,-9.64515611012915
543,-9.36330266128285
544,-7.96589991664801
545,-7.57899628559234
546,-6.41217259790024
547,-12.6341409759958
548,-11.7078068000078
549,-7.95094078670405
550,-12.7070233791162
551,-13.289729915138
552,-9.86004815094726
553,-13.6580103070635
554,-8.09216519198301
555,-9.45996653186739
556,-13.1278596231249
557,-11.5753448400387
558,-13.3956804642627
559,-9.35128044957779
560,-10.9942801885154
561,-7.76744220011719
562,-12.9075805835939
563,-5.83768181674101
564,-11.2257720114698
565,-11.6665150967936
566,-16.9190870594395
567,-12.5356873588409
568,-6.46672551380573
569,-11.6614317150373
570,-9.82847871168676
571,-12.7351930927927
572,-6.24429432795527
573,-8.26330059073718
574,-14.324602026611
575,-11.0704050631923
576,-5.55449605825468
577,-14.072484971564
578,-10.295654585542
579,-10.0932670647144
580,-14.702503917998
581,-8.57781238547204
582,-8.47092531362343
583,-13.2765258971208
584,-11.7265538705807
585,-8.09604530135345
586,-10.5145693805098
587,-8.90212688213759
588,-13.7532984867153
589,-11.2771828148124
590,-13.4757199731247
591,-12.2044359513408
592,-8.89393556458891
593,-8.50849709414308
594,-10.7988424178319
595,-13.2278402098953
596,-14.306216859966
597,-13.4499889818865
598,-14.1405662786189
599,-7.55466236334314
600,-14.5474414593745
601,-10.4061826795929
602,-12.3707856799528
603,-10.4814363116781
604,-8.47375370435725
605,-10.6456650315489
606,-9.83931820737432
607,-11.2879263781964
608,-10.5799812258518
609,-10.0653452565264
610,-8.47895482870402
611,-10.2517636539778
612,-6.24656218045888
613,-12.1767345848333
614,-8.53945641071341
615,-8.80773484844359
616,-6.24539813893897
617,-5.90870577794863
618,-11.1339920182934
619,-9.28946461372051
620,-10.0662703466568
621,-8.2726033197654
622,-8.45948886662246
623,-9.14877176467794
624,-13.5486056292885
625,-9.21496717830954
626,-9.88561245320184
627,-8.97290143240976
628,-8.19833184211562
629,-10.311987738461
630,-11.5074238690733
631,-9.79452164424737
632,-13.1357420221872
633,-13.0640742734178
634,-5.17223432899881
635,-10.1422682707537
636,-8.46604612392008
637,-7.28560819531847
638,-12.6726253886653
639,-10.0509185615618
640,-11.8960958442993
641,-10.9582083516004
642,-9.25972418036894
643,-12.4458121704299
644,-11.3826157697786
645,-11.3824730226358
646,-8.73590878436143
647,-6.07477879306499
648,-11.0615401092676
649,-12.8560029880303
650,-13.9692550282921
651,-8.29492495948966
652,-6.8813716184403
653,-14.8849807676077
654,-10.7511372262674
655,-8.5714133668277
656,-8.89532868479721
657,-12.0868308043134
658,-12.4404613628896
659,-11.5865231469291
660,-11.6380884315006
661,-9.18351702100434
662,-10.3459097567588
663,-10.1564676130492
664,-10.5765140123049
665,-9.00282192222228
666,-6.73294421607614
667,-6.39894083037444
668,-7.65060506897675
669,-14.1205094450883
670,-5.86672073454916
671,-13.5927986553132
672,-11.2352507491037
673,-10.507230634998
674,-8.66770287691181
675,-10.4789650262373
676,-8.06128372540024
677,-10.6476302266351
678,-13.565098612495
679,-5.93333944088382
680,-12.2961580103104
681,-13.0735797141422
682,-7.26903613523194
683,-9.9562877282651
684,-10.9339902400795
685,-6.88491396476971
686,-11.1726630200863
687,-10.6699090675242
688,-12.9482101303793
689,-9.90121128167557
690,-7.988726006186
691,-8.25679720836379
692,-12.1594752133639
693,-12.6646590117218
694,-9.84926841363139
695,-8.27802741550311
696,-12.4926784204654
697,-12.1678772852145
698,-6.96533020421378
699,-11.8323829784584
700,-12.3536381915916
701,-6.34805743077713
702,-11.2981548120782
703,-12.7829838461805
704,-8.90687661929857
705,-13.0655474360673
706,-10.1766763677112
707,-10.8678608277202
708,-11.7088751120739
709,-10.7414176826198
710,-11.475251747794
711,-11.7348764566248
712,-13.9443240261747
713,-8.09563435172648
714,-10.9096023819393
715,-12.3674138999069
716,-8.69995102295966
717,-10.6191397886763
718,-10.3287884065947
719,-6.96956677110098
720,-10.6172809198038
721,-13.2189132145625
722,-11.3253457941256
723,-8.91029612704759
724,-6.6006983819295
725,-10.8424032289162
726,-12.2626736483695
727,-7.31275176287237
728,-10.299292195896
729,-10.5039718136091
730,-9.08081820018445
731,-9.60975283553341
732,-7.65782692344613
733,-8.67776329574215
734,-8.73584756290868
735,-14.0645827152767
736,-10.7450019971346
737,-8.97168288973062
738,-10.5810535291357
739,-11.3909255632956
740,-13.0978313207149
741,-13.2808597703114
742,-10.3827637397893
743,-8.38323535544249
744,-12.6505000791052
745,-7.77249907163672
746,-14.057545830256
747,-7.07575386635864
748,-13.426136763186
749,-12.4417099379193
750,-11.1697655831602
751,-16.2350153061167
752,-10.073910910617
753,-12.2947309726141
754,-6.7832017420795
755,-8.54135360148126
756,-12.5382494039363
757,-16.082831451719
758,-7.83498657134532
759,-11.8376704413974
760,-12.4276112708385
761,-16.0113417831821
762,-9.48337596187709
763,-12.3287216369212
764,-12.0195990790042
765,-8.50525130847379
766,-10.4194137522568
767,-8.74439378972991
768,-11.4307667458247
769,-13.541706183249
770,-9.19476244505703
771,-10.6558830915945
772,-8.01640680413447
773,-12.3721671229443
774,-8.78357434523886
775,-10.1633687979375
776,-7.49769523049336
777,-15.0012098084081
778,-14.4941225871258
779,-8.33161964936662
780,-6.18286977118056
781,-12.1120742028311
782,-10.2707543114432
783,-9.67929026942602
784,-15.0722744700833
785,-6.44290535636545
786,-12.2506084948635
787,-10.3176306483346
788,-8.980764964158
789,-9.82917386872352
790,-8.38552167371677
791,-9.19800800294206
792,-14.1288515809335
793,-7.98481098877409
794,-10.6036564553975
795,-10.2130348966036
796,-7.11530520928499
797,-8.12681715327867
798,-7.61532791217078
799,-15.4700641612455
800,-7.49994283229042
801,-12.1740281429165
802,-12.7361841365596
803,-7.66559314558635
804,-14.4072656345992
805,-9.90992922129801
806,-12.2371912133816
807,-7.14712180716055
808,-10.5513155049647
809,-9.39525060278972
810,-5.57593830881785
811,-8.69724751240823
812,-12.3980262386127
813,-12.8929127922353
814,-10.1333297323266
815,-11.8156310324505
816,-8.4337283732865
817,-10.0870036660959
818,-11.4645441420027
819,-6.35252199564185
820,-11.4381231008195
821,-9.15199810421998
822,-11.8938586636466
823,-11.6352804108069
824,-8.49063648858044
825,-10.2853968131913
826,-14.8857855626139
827,-8.64278702398039
828,-12.1387010392486
829,-13.9579924327806
830,-10.3436919801151
831,-8.53759383347464
832,-7.68345375244825
833,-10.1812274225277
834,-9.58016887306966
835,-14.2320561143085
836,-12.5911460673731
837,-6.39520907236425
838,-12.4673165266572
839,-11.9713431833905
840,-11.9259995530919
841,-8.95576701027538
842,-8.93585834006768
843,-11.6053133297268
844,-9.68857275785937
845,-10.2668787855534
846,-9.97901257695814
847,-9.20440663962212
848,-7.73805338442699
849,-13.4409858763214
850,-7.88249659360211
851,-6.85173877088562
852,-10.824499843557
853,-14.8471193256092
854,-8.41269179773365
855,-9.17942338464144
856,-13.1931927633834
857,-8.36831802164637
858,-9.52667159813204
859,-11.753974749608
860,-7.40118780478592
861,-11.8954601317396
862,-8.96294421132396
863,-13.8441958866955
864,-11.1774216520081
865,-12.9199300751511
866,-6.15267245997804
867,-8.42729714792219
868,-11.6079573625826
869,-13.4498389932084
870,-16.5331475105217
871,-10.5705401446667
872,-11.8912341283487
873,-11.1876162878688
874,-17.7157556850658
875,-7.99835370692974
876,-8.60501411672528
877,-7.25401345672264
878,-15.0543043252225
879,-7.7412239999614
880,-6.8559195966548
881,-8.59051648276192
882,-14.3686365896727
883,-13.2544001718992
884,-9.32482485949257
885,-8.26609461088367
886,-8.84938319162158
887,-13.1105266364835
888,-7.95281739368861
889,-12.0571072893261
890,-7.52076135578964
891,-5.77780915971694
892,-10.8262398088682
893,-11.999292841615
894,-9.51638687151231
895,-7.11684427354963
896,-9.22770324924903
897,-10.1969828947382
898,-10.9639850849678
899,-9.89361540532853
900,-11.4467908194919
901,-7.66316551175099
902,-8.22449071500176
903,-6.38394798929346
904,-6.98577198928412
905,-11.4706005877402
906,-13.3680181946801
907,-10.9613716326542
908,-7.49380416244748
909,-13.1336794383561
910,-9.26615369457227
911,-7.3172797736243
912,-13.1032758370443
913,-7.89139122492356
914,-13.8591864435472
915,-11.1974066841179
916,-10.8667365155933
917,-10.0211717592823
918,-13.7713565926966
919,-10.7772946956046
920,-12.5132544316567
921,-7.09463442678734
922,-10.5927831823206
923,-9.28005329799235
924,-6.37384472461226
925,-13.6599179687021
926,-8.98442859012925
927,-8.6707820726473
928,-10.4480929503249
929,-8.81131400580461
930,-9.80491975260796
931,-7.44616361759302
932,-6.60686006832285
933,-8.27428085661213
934,-7.63996358066673
935,-5.59587890825042
936,-9.63119091772954
937,-12.9456321575964
938,-6.98812686819345
939,-10.7353474781199
940,-6.04040983296215
941,-11.0609132605868
942,-8.93378951039906
943,-12.4657305082031
944,-13.2466720541551
945,-12.2033771464758
946,-10.250912536169
947,-12.8474347768843
948,-8.30843464796014
949,-12.4816800677436
950,-13.4633403115383
951,-9.0152766024203
952,-5.94422808591517
953,-8.57230135277619
954,-9.06429752820842
955,-11.2421755669966
956,-8.34741127399409
957,-7.37802305810818
958,-8.7535498684827
959,-10.1319575163381
960,-11.0441577492217
961,-12.3975382098147
962,-8.84492099886582
963,-11.5042514273465
964,-9.01476093576213
965,-9.19817019186537
966,-7.69149858324808
967,-11.6629039484875
968,-13.2401665832799
969,-7.37213066764119
970,-11.9792965061941
971,-12.0752591504332
972,-12.0340360987393
973,-10.5897665039664
974,-6.38581239118519
975,-11.5116356960006
976,-10.2642544855218
977,-15.9114350143276
978,-9.04550445340541
979,-12.7259952257962
980,-15.8996260828686
981,-9.41930110317855
982,-11.2742334412043
983,-9.56337357400095
984,-10.1036882807554
985,-8.45993542015417
986,-7.89542276430641
987,-11.8383025395937
988,-13.7002173605617
989,-8.8891381354233
990,-13.5417882439696
991,-7.1982059116066
992,-7.51271927354413
993,-13.5343700694276
994,-11.1447149771252
995,-8.60801250614584
996,-7.32768240063
997,-12.5711726315206
998,-9.37718292005082
999,-13.4292913411473
1000,-9.39783395434861
