"idd","avgLL_AT"
1,-13.2069549948891
2,-12.614223346916
3,-9.62237830824054
4,-7.63409348787383
5,-11.0181909379703
6,-7.34072180226139
7,-11.1835660832842
8,-10.5525969662895
9,-12.0986800524688
10,-11.6573438842513
11,-6.59176864773877
12,-11.7192507437656
13,-10.3278179076442
14,-11.9136078607785
15,-9.66332479064044
16,-6.37946975850436
17,-5.80722813109048
18,-6.57020314849362
19,-14.8550166185154
20,-10.8901118516204
21,-10.3948167088028
22,-10.6326855734082
23,-8.6505708104668
24,-7.28563674020586
25,-8.78208485955157
26,-10.6144920026881
27,-14.4831731602494
28,-13.6100710516013
29,-7.09136272443293
30,-9.12827319840508
31,-5.68657701360681
32,-8.53057884943252
33,-9.38111988302567
34,-5.4808041046972
35,-10.7028124214996
36,-11.7499526681597
37,-8.29602626163859
38,-10.4266194622626
39,-11.5863509638691
40,-10.916213619623
41,-9.49355055354827
42,-8.27833531088714
43,-9.86274497352425
44,-14.3381619518475
45,-13.7343084745478
46,-15.4727365842899
47,-9.07790090525062
48,-11.2109884195651
49,-13.4598612218234
50,-9.44189351380444
51,-12.215800021987
52,-14.3987949373682
53,-12.4070866291206
54,-16.2038323503712
55,-15.4753052267245
56,-7.42742766478557
57,-12.1711199870663
58,-11.6720083250282
59,-9.64589255506506
60,-12.3293234414348
61,-7.4741851426286
62,-6.02085806063095
63,-8.3577811626807
64,-8.2968110348291
65,-8.2634494343811
66,-10.5665928037365
67,-8.02518172030294
68,-6.7154417176328
69,-8.29707786721683
70,-10.4572745183083
71,-6.76114155877236
72,-8.94640767024765
73,-8.12050380322946
74,-9.44947814430983
75,-7.75192922439
76,-15.0168221082947
77,-13.444186946891
78,-13.2814396092978
79,-12.9033114824327
80,-9.97215057359213
81,-12.5791877152397
82,-12.3074694197587
83,-12.0503569143223
84,-11.9762860046443
85,-9.62260849537392
86,-14.2755019140769
87,-14.5722471395161
88,-7.64560029086602
89,-7.3366664086015
90,-10.3544886490462
91,-9.50402731101927
92,-13.5921287237287
93,-12.1427141227753
94,-10.5490236550198
95,-10.6722935045535
96,-7.36968999889451
97,-8.57845394268425
98,-8.8742135444311
99,-10.3228080400174
100,-13.3423553096858
101,-7.7204421766111
102,-13.2779845993336
103,-13.0275398429212
104,-5.06396095272743
105,-9.27519966511447
106,-10.4105341668984
107,-10.9764036686839
108,-11.124628887325
109,-10.1596769687895
110,-8.60533959373977
111,-11.7995524882839
112,-10.4049861021255
113,-7.2894687047868
114,-9.52808590854565
115,-7.89513390026818
116,-8.25200376259079
117,-8.3537024309141
118,-10.2598405966932
119,-10.2551148140789
120,-11.5778101830591
121,-15.4781416348623
122,-6.59559553634416
123,-13.4993487162959
124,-8.30135325154583
125,-10.1509829417751
126,-9.65117253649225
127,-7.35079720011742
128,-11.1042037891939
129,-11.0373804093061
130,-12.6695383295699
131,-10.953859625184
132,-7.35660924923686
133,-13.0324235676134
134,-10.7262156262603
135,-11.0898765647034
136,-9.52466110768063
137,-9.08793625291101
138,-14.7799983936735
139,-5.77849605998112
140,-11.0178659781452
141,-11.5177251624537
142,-13.3033033498718
143,-10.1174193962972
144,-14.7062112484858
145,-7.19677279173105
146,-6.52285098026906
147,-10.1000416778845
148,-7.29462389344858
149,-4.97787645553022
150,-12.0664781299963
151,-7.43084341557066
152,-10.9591533841283
153,-12.5459926973947
154,-14.7163078778122
155,-10.629916643018
156,-14.852515308084
157,-14.3442482128946
158,-11.4284742743923
159,-16.8731428250936
160,-11.7332269588791
161,-9.41826638575866
162,-12.0091137122762
163,-12.9943660974749
164,-8.12965704198124
165,-12.0322825895018
166,-12.4539101318523
167,-9.12691132813432
168,-13.1548880080897
169,-11.4418417136737
170,-10.4196253061321
171,-9.80170183809966
172,-10.8695758427266
173,-11.1644643495644
174,-12.1749684611903
175,-13.245325902844
176,-8.45988148711569
177,-13.2953370842861
178,-6.62865250710273
179,-10.827975208366
180,-12.0357024989774
181,-11.7644191972355
182,-11.2228456447295
183,-4.36370082966577
184,-12.5959219823491
185,-9.60565878526253
186,-8.33299571981705
187,-12.2109875104314
188,-15.7539880720802
189,-6.20821160910039
190,-9.22033934506593
191,-9.35077833602497
192,-7.88943589191797
193,-11.1863736356619
194,-8.78955039632995
195,-7.16548387159481
196,-11.7418293875567
197,-15.7329326298684
198,-10.5238900748755
199,-12.1101143701839
200,-14.2928946571676
201,-12.447518708939
202,-12.0908364444287
203,-13.2365047657387
204,-14.111058733067
205,-12.7409729651864
206,-9.89705072083616
207,-11.0456877838525
208,-8.8629411325179
209,-7.73962635713201
210,-14.9986238149664
211,-8.98436668644729
212,-13.0876116636721
213,-15.7442806944949
214,-10.9504883801429
215,-8.6670609423029
216,-5.91690906440077
217,-16.7715361261179
218,-9.00206020057337
219,-9.09124115687183
220,-8.22591578108879
221,-9.86747177634439
222,-12.3951419882511
223,-12.8591754101739
224,-11.4272664507377
225,-8.53420976251513
226,-10.1237458669792
227,-18.5619703381634
228,-14.5138244709467
229,-13.2445233331103
230,-9.58044193586706
231,-8.47867795779292
232,-17.1598020244786
233,-8.39591591252272
234,-12.051714268406
235,-13.3456823198314
236,-11.1866086128323
237,-12.8482596856697
238,-9.40852229189277
239,-14.3700513010687
