"idd","avgLL_FM3"
1,-12.9664795658553
2,-12.7147109973254
3,-9.82457728885915
4,-7.41556586672591
5,-10.521928076892
6,-7.24673612497702
7,-11.7016258913008
8,-10.4103345650587
9,-12.514671595136
10,-11.5234904955234
11,-6.86431932432403
12,-11.8062090312742
13,-10.2393478630611
14,-11.7609344907782
15,-9.51509376533747
16,-6.50919719967288
17,-5.91269044978446
18,-6.27294550177484
19,-14.4666904577697
20,-11.0606862762291
21,-10.1005013265869
22,-10.5351751993661
23,-8.37446631607953
24,-6.8365535267126
25,-8.61000361751142
26,-10.2594839304878
27,-14.9016400591211
28,-13.6913883778163
29,-7.3702510240372
30,-9.2274059961843
31,-5.79616371211195
32,-8.21654846615915
33,-9.38898450128375
34,-5.23843109510303
35,-11.0157005831953
36,-11.9570140816861
37,-8.10014686795142
38,-10.3041647093092
39,-11.2733909005228
40,-10.7389772323685
41,-9.32730029241601
42,-8.63272693805461
43,-10.0544948426536
44,-14.7456936163029
45,-13.327379531682
46,-15.3537354709566
47,-8.96220545007723
48,-11.0906340803348
49,-13.62286686024
50,-9.23718929871695
51,-11.8798773673461
52,-14.5366175701489
53,-12.4303948537547
54,-15.9096832944741
55,-15.3145480255534
56,-7.43495094720505
57,-12.1382902091808
58,-11.8333250227345
59,-9.51871213706683
60,-12.3925768334771
61,-7.55028730586919
62,-6.17790678778837
63,-7.94574097674234
64,-8.14196989163468
65,-8.13179220757718
66,-10.2171275816052
67,-8.03429561673657
68,-6.50864708140795
69,-8.64236631364389
70,-10.3905866986666
71,-6.64630861946319
72,-8.85877411017628
73,-8.14474306172091
74,-9.54050509442366
75,-7.48337966129102
76,-14.8354273800809
77,-13.5456523236761
78,-13.5116473027467
79,-12.8844747743491
80,-9.53938079061782
81,-12.8188758940578
82,-12.4775450470938
83,-12.154902796862
84,-12.0186286704118
85,-9.28313926852971
86,-15.2179038567449
87,-13.9095148069503
88,-7.54312276565542
89,-7.24542188681199
90,-10.5973563225103
91,-9.82772880277567
92,-13.2863917502943
93,-11.895051652507
94,-10.6053927476026
95,-10.4280566017461
96,-7.51504860894153
97,-8.6957517409851
98,-8.52593573426374
99,-11.1034147769304
100,-13.30143441883
101,-7.4726294644188
102,-13.0662415299468
103,-13.4483986077201
104,-4.96566240578346
105,-9.55098873929686
106,-10.3856572998294
107,-10.863168451759
108,-11.3922144078735
109,-10.2597140207992
110,-8.4655302613085
111,-12.1920745390112
112,-10.5555590159323
113,-7.45070825792882
114,-9.19898433073189
115,-7.83586502414202
116,-8.39740883421059
117,-7.75791080015686
118,-10.2844071488728
119,-10.6198124719078
120,-11.8571641780635
121,-15.8570724618842
122,-6.85251792590687
123,-13.4698283852541
124,-8.19399321013947
125,-9.94631680046646
126,-8.97806337614262
127,-7.47772543757663
128,-11.168025818567
129,-10.7483022350309
130,-12.8943949485194
131,-10.5925437736581
132,-7.25185764273354
133,-13.6379496362122
134,-10.4744366705281
135,-11.4081386872653
136,-9.73206978359645
137,-8.70283587484538
138,-14.7467325745321
139,-5.6098548692221
140,-10.7611424649495
141,-11.4272943310989
142,-13.666138681298
143,-10.0969061227531
144,-15.0282846906139
145,-7.12217110024892
146,-6.46966211643914
147,-10.3180527406294
148,-7.25499900728617
149,-4.83957264007914
150,-11.293489405221
151,-7.52078788436464
152,-11.0986604190633
153,-12.3717231733318
154,-14.7791010377814
155,-10.4780974168719
156,-15.4883961284682
157,-14.5156618029718
158,-10.509887818687
159,-17.008193330813
160,-11.5653639059177
161,-9.40833961998372
162,-11.8393081450578
163,-13.2126096398027
164,-7.81671776739242
165,-11.8884536894023
166,-12.3336639871166
167,-9.0708953672498
168,-13.1846022674429
169,-11.6498579851251
170,-10.481137805423
171,-10.1001440934832
172,-10.6631536776687
173,-11.3900580621326
174,-11.9409951625329
175,-13.449284242093
176,-8.2643502227871
177,-13.1946335973906
178,-6.89459391239951
179,-10.7357064699339
180,-11.7834518297422
181,-11.3606394278045
182,-11.2211540661708
183,-4.21912449014769
184,-12.5025837607609
185,-9.88716342179277
186,-8.08474992767311
187,-12.1311177636228
188,-15.9977935479073
189,-6.18761365141381
190,-8.9524747927961
191,-9.27260394536228
192,-8.03479133426354
193,-11.0671638558938
194,-8.67373248696443
195,-7.07545185025386
196,-11.5628328849834
197,-15.1495505192846
198,-10.1014965094104
199,-12.2338815625477
200,-14.5130212563601
201,-12.3225612305354
202,-11.8439185105708
203,-13.0568792760491
204,-14.464240017049
205,-12.9134042764422
206,-10.0895803472993
207,-11.0833081735849
208,-9.32491373586288
209,-8.13609369718708
210,-15.213530213672
211,-8.71920295515706
212,-13.3361970101098
213,-15.9446381177921
214,-11.1810400592274
215,-8.24219865266587
216,-5.73354391071606
217,-16.6707837898106
218,-9.12872109164335
219,-8.82651636777611
220,-8.12781127115011
221,-10.2397842281717
222,-12.44910804393
223,-12.6920179469443
224,-11.7631594104546
225,-8.75618553869265
226,-10.3275613640057
227,-17.9540854210942
228,-14.385443639905
229,-13.523924368858
230,-9.53464924920506
231,-7.68746063128737
232,-17.2069836039125
233,-7.62259675458621
234,-11.9817687950138
235,-12.6840791854846
236,-11.0621653217727
237,-12.7528170617574
238,-9.46787597974918
239,-14.2957384954998
240,-7.94714135550743
241,-13.5709482277466
242,-12.9863834815303
243,-9.72332909198133
244,-12.141911442593
245,-11.5568068159492
246,-8.50637383315266
247,-12.5448553197948
248,-10.9205699006975
249,-7.03413778049637
250,-4.60263183611302
251,-7.9803899876526
252,-10.849171432649
253,-13.9730984985292
254,-6.84867783052244
255,-10.5259735214963
256,-8.10772860536772
257,-8.8064003236962
258,-12.2564939094899
259,-14.224596373495
260,-8.65312258931414
261,-8.09349034609963
262,-9.1627407083805
263,-12.8284389031474
264,-12.2016355272976
265,-12.3186196921057
266,-14.4367725062289
267,-9.90004739171633
268,-10.863025806782
269,-7.57925563332391
270,-11.2811904046161
271,-7.86918227759305
272,-12.9568127191572
273,-12.251934945715
274,-12.4515882718599
275,-5.89678482622174
276,-12.0731765952641
277,-11.8944988406646
278,-13.0334396263298
279,-8.75392400165629
280,-15.2657118022297
281,-12.3942876079342
282,-8.23200859692264
283,-13.5029043572885
284,-11.8957853658719
285,-6.71037280855406
286,-12.5837981316213
287,-11.2031509934977
288,-9.52892225193094
289,-8.03483709267506
290,-11.1827414200732
291,-12.3607267000477
292,-8.0010591406056
293,-7.90532380483418
294,-11.5523587185182
295,-5.40485368285984
296,-7.3503698414395
297,-9.39868834464003
298,-9.37440248241409
299,-12.3500603994942
300,-10.6327656115919
301,-6.4609275517801
302,-6.02341625468544
303,-11.7832658910631
304,-6.86459364360315
305,-8.51777394346539
306,-10.604024610445
307,-7.13705210928975
308,-7.04891500745232
309,-7.49674216192768
310,-13.1630071964753
311,-15.5521048245716
312,-12.4711238560385
313,-8.59177618808488
314,-7.91382967847164
315,-7.92267941459466
316,-7.98160727416
317,-8.44065588543099
318,-5.31952457524031
319,-13.4380403066808
320,-10.6968885807213
321,-8.05091503904973
322,-7.15663771830609
323,-12.4400388830705
324,-9.44987132254133
325,-14.2121431357309
326,-9.12384695254532
327,-10.4696462344408
328,-14.3727647208154
329,-7.91441776070299
330,-15.8846394932067
331,-10.836407585219
332,-8.17915013113099
333,-6.49737227872418
334,-8.21997742854948
335,-9.02905635092695
336,-13.3350478346583
337,-13.6016071589759
338,-7.98199308757255
339,-6.39085958816473
340,-12.5796061304747
341,-10.7497955934447
342,-11.5089380121936
343,-13.326524752772
344,-7.91449063316052
345,-13.0802100290255
346,-12.0995133678028
347,-15.2747171404263
348,-9.77805772595919
349,-7.19278424535691
350,-16.2496293132175
351,-8.5544639537869
352,-10.3958233613539
353,-13.1971033462192
354,-14.867402705449
355,-9.06083928911974
356,-7.80982827907073
357,-13.3652778144622
358,-12.0431935084769
359,-13.7972515326461
360,-6.28351366840411
361,-12.7537060581966
362,-7.31345458309844
363,-4.49472284764513
364,-11.9829443996052
365,-8.51980710749588
366,-9.76429147976266
367,-10.5038528276717
368,-11.8069768765789
369,-9.85782995782974
370,-13.5263578754124
371,-10.9533483834005
372,-10.4369423705875
373,-10.7160608650188
374,-8.66398960513694
375,-10.8126316327964
376,-8.52994736205056
377,-7.48231798880393
378,-9.04053488497655
379,-9.65645882769093
380,-7.68468731460014
381,-10.0616333454235
382,-8.98048283993015
383,-8.37719972999088
